Date,Open,High,Low,Close,Volume
2023-10-17 03:00:00,1919.41,1920.03,1914.32,1916.6,4153
2023-10-17 04:00:00,1916.59,1917.6,1913.32,1915.1,4776
2023-10-17 05:00:00,1915.1,1915.2,1912.41,1914.79,3677
2023-10-17 06:00:00,1914.79,1916.79,1914.34,1916.77,3414
2023-10-17 07:00:00,1916.87,1916.99,1914.46,1914.7,1905
2023-10-17 08:00:00,1914.71,1916.82,1914.24,1916.43,3445
2023-10-17 09:00:00,1916.43,1918.08,1915.6,1917.39,4738
2023-10-17 10:00:00,1917.39,1921.4,1917.15,1920.07,7831
2023-10-17 11:00:00,1920.0,1920.57,1918.64,1919.26,6274
2023-10-17 12:00:00,1919.28,1923.78,1918.89,1923.01,5664
2023-10-17 13:00:00,1923.04,1926.56,1922.59,1923.49,7757
2023-10-17 14:00:00,1923.51,1925.61,1922.22,1924.07,5643
2023-10-17 15:00:00,1924.07,1929.03,1919.15,1926.01,17589
2023-10-17 16:00:00,1926.03,1931.57,1920.89,1927.82,21489
2023-10-17 17:00:00,1927.91,1930.97,1922.73,1924.05,20439
2023-10-17 18:00:00,1924.06,1926.91,1923.1,1926.83,12486
2023-10-17 19:00:00,1926.85,1926.89,1923.06,1924.14,8507
2023-10-17 20:00:00,1924.12,1925.14,1919.69,1919.87,6429
2023-10-17 21:00:00,1919.88,1922.11,1919.16,1922.0,5370
2023-10-17 22:00:00,1922.03,1925.15,1921.87,1922.67,4676
2023-10-17 23:00:00,1922.68,1923.29,1922.13,1923.05,1818
2023-10-18 01:00:00,1923.91,1925.54,1923.28,1924.87,1007
2023-10-18 02:00:00,1924.91,1925.49,1924.05,1924.71,1225
2023-10-18 03:00:00,1924.75,1928.28,1923.82,1927.41,3854
2023-10-18 04:00:00,1927.42,1940.41,1926.91,1939.06,9653
2023-10-18 05:00:00,1939.1,1942.91,1935.8,1937.26,8193
2023-10-18 06:00:00,1937.25,1938.09,1935.24,1937.5,3904
2023-10-18 07:00:00,1937.5,1938.62,1936.74,1938.07,2283
2023-10-18 08:00:00,1938.04,1939.7,1936.45,1937.11,4477
2023-10-18 09:00:00,1937.08,1938.75,1935.12,1936.1,7261
2023-10-18 10:00:00,1936.11,1940.04,1935.59,1939.66,8471
2023-10-18 11:00:00,1939.66,1939.76,1937.28,1938.43,6671
2023-10-18 12:00:00,1938.43,1946.14,1938.33,1944.32,7414
2023-10-18 13:00:00,1944.32,1945.37,1942.59,1945.28,5091
2023-10-18 14:00:00,1945.29,1947.49,1944.21,1946.22,5764
2023-10-18 15:00:00,1946.23,1950.14,1944.82,1948.88,15624
2023-10-18 16:00:00,1948.85,1962.67,1947.18,1957.14,22589
2023-10-18 17:00:00,1957.14,1958.83,1943.57,1947.02,25598
2023-10-18 18:00:00,1947.02,1947.45,1938.29,1945.22,16549
2023-10-18 19:00:00,1945.21,1950.49,1944.66,1949.89,9701
2023-10-18 20:00:00,1949.88,1956.62,1949.54,1954.04,10904
2023-10-18 21:00:00,1954.05,1954.18,1948.84,1950.58,5943
2023-10-18 22:00:00,1950.55,1951.66,1948.58,1950.42,4627
2023-10-18 23:00:00,1950.42,1950.67,1947.36,1947.62,2694
2023-10-19 01:00:00,1947.76,1950.94,1947.28,1949.64,1445
2023-10-19 02:00:00,1949.66,1951.6,1949.66,1950.81,1547
2023-10-19 03:00:00,1950.82,1953.33,1948.67,1950.17,3943
2023-10-19 04:00:00,1950.16,1951.71,1946.23,1948.27,5286
2023-10-19 05:00:00,1948.28,1950.07,1947.77,1949.65,3457
2023-10-19 06:00:00,1949.55,1950.71,1945.25,1946.37,3613
2023-10-19 07:00:00,1946.36,1948.92,1945.32,1948.14,2561
2023-10-19 08:00:00,1948.17,1949.31,1945.94,1946.92,4132
2023-10-19 09:00:00,1946.93,1948.57,1945.49,1948.02,6451
2023-10-19 10:00:00,1948.0,1952.81,1947.67,1949.46,10108
2023-10-19 11:00:00,1949.47,1954.49,1948.02,1949.72,9070
2023-10-19 12:00:00,1949.73,1950.77,1947.89,1950.74,6014
2023-10-19 13:00:00,1950.74,1951.43,1949.0,1950.99,4153
2023-10-19 14:00:00,1950.97,1952.31,1949.63,1952.15,5019
2023-10-19 15:00:00,1952.14,1957.13,1950.52,1954.86,16442
2023-10-19 16:00:00,1954.85,1956.51,1950.02,1954.4,18414
2023-10-19 17:00:00,1954.44,1955.22,1949.78,1950.33,16729
2023-10-19 18:00:00,1950.35,1959.98,1950.02,1956.19,11871
2023-10-19 19:00:00,1956.17,1962.15,1952.11,1961.98,31729
2023-10-19 20:00:00,1961.98,1972.8,1960.85,1972.73,20854
2023-10-19 21:00:00,1972.74,1975.13,1970.66,1973.13,11813
2023-10-19 22:00:00,1973.12,1977.73,1973.12,1974.36,9716
2023-10-19 23:00:00,1974.37,1975.33,1972.91,1974.28,2806
2023-10-20 01:00:00,1973.4,1976.63,1972.45,1972.48,2667
2023-10-20 02:00:00,1972.47,1982.12,1972.4,1977.13,4353
2023-10-20 03:00:00,1977.15,1977.7,1974.03,1974.97,6296
2023-10-20 04:00:00,1974.93,1978.04,1972.04,1977.87,9009
2023-10-20 05:00:00,1977.85,1981.97,1976.51,1979.45,6493
